# Table of Bessel functions
# x             J0(x)         J1(x)         J2(x)
  0.00000000    1.00000000    0.00000000    0.00000000 
  1.00000000    0.76519769    0.44005059    0.11490348 
  2.00000000    0.22389078    0.57672481    0.35283403 
  3.00000000   -0.26005195    0.33905896    0.48609126 
  4.00000000   -0.39714981   -0.06604333    0.36412815 
  5.00000000   -0.17759677   -0.32757914    0.04656512 
  6.00000000    0.15064526   -0.27668386   -0.24287321 
  7.00000000    0.30007927   -0.00468282   -0.30141722 
  8.00000000    0.17165081    0.23463635   -0.11299172 
  9.00000000   -0.09033361    0.24531179    0.14484734 
 10.00000000   -0.24593576    0.04347275    0.25463031 
 11.00000000   -0.17119030   -0.17678530    0.13904752 
 12.00000000    0.04768931   -0.22344710   -0.08493049 
 13.00000000    0.20692610   -0.07031805   -0.21774426 
 14.00000000    0.17107348    0.13337515   -0.15201988 
 15.00000000   -0.01422447    0.20510404    0.04157168 
 16.00000000   -0.17489907    0.09039718    0.18619872 
 17.00000000   -0.16985425   -0.09766849    0.15836384 
 18.00000000   -0.01335581   -0.18799489   -0.00753251 
 19.00000000    0.14662944   -0.10570143   -0.15775591 
 20.00000000    0.16702466    0.06683312   -0.16034135 
